result,table,_start,_stop,_time,_measurement,absorption_rate,co2_concentration,pressure,temperature
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:51:15.452122+00:00,co2_absorption,0.865248297874881,8.267876423619748,2.2021652138490904,47.82483010931266
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:51:20.887610+00:00,co2_absorption,0.8300612779319846,6.8233037003087915,2.719182213195467,50.84257466628506
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:51:26.315982+00:00,co2_absorption,0.8142746360110813,9.758797354939116,2.1447012345604346,58.13101113226044
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:51:31.748003+00:00,co2_absorption,0.7708693275904259,7.225878900277559,2.627136403050813,57.98053413463854
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:51:37.182576+00:00,co2_absorption,0.9260844606033611,9.54766961257684,1.9744649953718836,54.20984840153881
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:51:42.615606+00:00,co2_absorption,0.7958173198856435,6.840260344316086,2.7619006370492913,52.94039094228249
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:51:48.057470+00:00,co2_absorption,0.8923097946206934,5.480834015882504,2.301141286294391,55.965934806074976
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:51:53.481506+00:00,co2_absorption,0.8113371938711412,6.784450806812964,2.6801005091003285,41.25919747939298
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:51:58.901996+00:00,co2_absorption,0.9107619477844977,5.927262947597002,1.9973902910655918,40.10220259479312
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:52:04.323267+00:00,co2_absorption,0.7679352600118876,7.0899545640582495,2.235513942518808,50.493482329925314
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:52:09.755301+00:00,co2_absorption,0.9248926355935544,8.957670544121155,2.0888820246686546,44.397770884878106
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:52:15.192744+00:00,co2_absorption,0.9294247430067004,8.609476805348743,2.8555490226657176,42.81404836249089
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:52:20.621827+00:00,co2_absorption,0.8709595560109551,8.630626188159825,1.809804212884707,48.8529740191004
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:52:26.055584+00:00,co2_absorption,0.6561155490526042,7.374201654137937,2.4885653158965386,56.78948317077726
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:52:31.488772+00:00,co2_absorption,0.7645942681847802,8.958989423852913,2.937135598162226,56.58349930637784
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:52:36.871908+00:00,co2_absorption,0.9379253179930543,7.508347965975169,2.0066982559142605,56.38451693006708
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:52:42.304276+00:00,co2_absorption,0.8760523415605936,5.518260735636401,2.021379181412228,45.02450530330858
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:52:47.727366+00:00,co2_absorption,0.6992894228331025,9.655537804906675,2.011780221370348,47.921629685326984
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:52:53.141491+00:00,co2_absorption,0.7991471252449287,8.974078050959928,1.5619915247837706,59.1347559246045
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:52:58.567087+00:00,co2_absorption,0.6826624858291469,9.125487986371741,1.8257462216616576,56.81381490345598
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:53:04.000532+00:00,co2_absorption,0.682307047322823,5.337998266190278,2.5161167120768386,54.39596753539251
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:53:09.426692+00:00,co2_absorption,0.8927324858603881,9.25666412717539,2.15128949448413,45.606579204530966
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:53:14.861901+00:00,co2_absorption,0.753562577298306,7.030326471065029,2.0666703521337872,44.238377271039006
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:53:20.297837+00:00,co2_absorption,0.705000189487447,7.735162295216185,1.6298746237454413,58.15809632962524
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:53:25.733284+00:00,co2_absorption,0.6804303728682096,6.564176939387377,2.3112135078549616,45.91819902746469
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:53:31.165399+00:00,co2_absorption,0.8142211322073709,7.676142002611898,2.8834415575955665,46.35291307310816
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:53:36.591528+00:00,co2_absorption,0.8052653822379482,6.2385685780715505,2.8739486007672035,57.614006679770895
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:53:42.015953+00:00,co2_absorption,0.6439290796374305,5.702577830277645,2.9114268188852623,48.512045208303626
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:53:47.449402+00:00,co2_absorption,0.6187538980767633,8.606299648764477,2.0276481606149153,56.11281375483529
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:53:52.883213+00:00,co2_absorption,0.8899127090309673,5.984233769614558,1.7141852230691916,41.62222575551746
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:53:58.293927+00:00,co2_absorption,0.708602554329364,8.568391505496962,2.086068877977733,45.191505426610334
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:54:03.733202+00:00,co2_absorption,0.7279870821782082,7.443111712920144,2.586790311713489,47.08419445223693
_result,0,2025-06-28 23:41:39.399094+00:00,2025-06-29 23:41:39.399094+00:00,2025-06-29 20:54:09.158049+00:00,co2_absorption,0.8560420226203148,7.320307286765361,1.9318291670342718,59.5048993093346
