result,table,_start,_stop,_time,_measurement,co2_concentration,co2_desorption_rate,h2_concentration,oxygen_concentration,pressure,temperature
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:51:15.507110+00:00,desorption,8.244602095257687,0.8777111211677613,3.9918087164944405,28.388315287843355,2.3004228952695183,67.3785190425454
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:51:20.935766+00:00,desorption,7.6071562219254485,0.597456035659111,2.0969103131765356,22.61631444307877,1.9400049653510005,59.17652862213826
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:51:26.362874+00:00,desorption,10.407847048162454,0.5270434632731372,4.609144838819475,19.70471156062917,2.369456572217688,66.76916435337631
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:51:31.795850+00:00,desorption,10.534341443845893,0.7396662173020474,2.440624877141645,24.955664227230315,2.257605766117744,57.29964876645242
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:51:37.231668+00:00,desorption,5.998363545019144,0.6648717589596518,2.202344104176671,18.411399129822826,2.282911558466163,63.28182700252972
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:51:42.662507+00:00,desorption,7.837231275392748,0.6879286368958931,4.301746833670507,17.944813012728616,1.5716542365516566,57.45545281371476
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:51:48.102280+00:00,desorption,9.822995057489624,0.7587031768882,2.334627547567915,17.921304104514558,2.0775834433655875,69.46133985241573
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:51:53.525489+00:00,desorption,11.376706796801837,0.8829664582299379,3.5206471480199992,17.97645075510451,1.7154647567524384,71.82728368582013
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:51:58.949004+00:00,desorption,6.633862595247834,0.8002382667439918,4.177366688138331,26.047765687514453,1.2754771141686674,62.89192448587916
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:52:04.369313+00:00,desorption,10.80539513168291,0.5700111168483628,3.3214791686397085,21.160912157503247,2.289366507278997,72.23698881650832
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:52:09.801074+00:00,desorption,7.79189592239319,0.5910928096624269,4.990270577822134,15.238621292745322,1.6736300847756167,71.75025761177349
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:52:15.240661+00:00,desorption,9.46201482481523,0.6698932354707663,3.235875463110345,18.076034647867868,1.0727809677375804,78.58578638967214
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:52:20.668421+00:00,desorption,14.298783853351758,0.8201149695673,4.750541401180836,12.877206306281217,1.7138023164409404,64.12075199536092
_result,0,2025-06-28 23:41:39.514274+00:00,2025-06-29 23:41:39.514274+00:00,2025-06-29 20:52:26.105890+00:00,desorption,10.26850372754167,0.5954080574764083,4.690955745083615,21.837768243757765,1.715271419673827,77.13045477111791
