result,table,_start,_stop,_time,_measurement,purity_co2,purity_h2,purity_o2,tank_level_co2,tank_level_h2,tank_level_o2
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:51:15.556010+00:00,output_tanks,84.35515295947886,86.89105184063838,93.91556485364656,46.2701539919619,88.504062080638,39.210414940033324
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:51:20.982982+00:00,output_tanks,79.4681755300592,97.06314024202838,98.05763522931719,98.54414507326774,24.37227546440638,86.45114458914671
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:51:26.412834+00:00,output_tanks,82.94266505649139,96.15630161433158,85.46973204750422,21.23012243742842,44.05494212312125,93.54081252854458
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:51:31.843603+00:00,output_tanks,76.5282892339589,93.37746816448006,87.63319855803253,77.42381546717455,27.057155605884688,44.20671480512568
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:51:37.278757+00:00,output_tanks,89.93461158584574,96.68187795473284,87.80924525951444,60.72461205780786,51.59736545476056,51.19117483072997
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:51:42.710615+00:00,output_tanks,91.24973782940901,88.50041876456335,97.73080097326704,83.08397140026466,46.54601254063037,78.87411524569927
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:51:48.150059+00:00,output_tanks,94.65351844586704,80.42016618345333,96.54106810101948,62.835369633836855,29.42746924540291,21.091304843771105
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:51:53.573288+00:00,output_tanks,94.92909723456162,97.96598557388397,91.64507658942495,90.29329296548758,98.94559129545816,90.622965946422
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:51:58.997266+00:00,output_tanks,79.55937236627554,95.11669479407692,90.92977936872687,92.09555892891281,74.0279105280419,82.16960821440667
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:52:04.416697+00:00,output_tanks,85.2943266483712,81.29891125336266,85.87061275752453,86.36708229937648,60.26665954178817,30.367227254758113
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:52:09.849111+00:00,output_tanks,79.22386580944955,84.07773813003874,89.49294713540395,50.181143336751376,97.30672111652888,27.265084564304818
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:52:15.288972+00:00,output_tanks,92.40774626515767,86.66904199054065,96.1839635494501,26.534590646960137,61.44582337777693,28.597490816970044
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:52:20.716386+00:00,output_tanks,76.0037757971054,90.05034796460271,88.5734005857293,67.2167800392809,23.239115686905187,90.64585778859686
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:52:26.153336+00:00,output_tanks,90.25537402075803,84.16106812565883,95.97231573036645,83.54567363744614,85.1560342642459,81.20781544081466
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:52:31.583562+00:00,output_tanks,76.09830189205904,93.7680486298039,96.19503609787529,80.0398559453896,56.516861213149284,42.875840318972955
_result,0,2025-06-28 23:41:39.622372+00:00,2025-06-29 23:41:39.622372+00:00,2025-06-29 20:52:36.967907+00:00,output_tanks,80.66445318993065,93.07327241205611,95.84118015290508,50.97182034122088,21.107949532376402,83.98946300553561
