result,table,_start,_stop,_time,_measurement,unit,air_efficiency,intake_rpm,output_rpm,pressure,temperature,vibration
_result,0,2025-06-28 23:41:38.999247+00:00,2025-06-29 23:41:38.999247+00:00,2025-06-29 20:06:48.718149+00:00,air_intake,intake_1,80.60673820399595,1240.913735113748,1294.4227045440098,1.9344195093383363,26.454561837655294,0.6974287595959516
_result,1,2025-06-28 23:41:38.999247+00:00,2025-06-29 23:41:38.999247+00:00,2025-06-29 20:06:48.736781+00:00,air_intake,intake_2,85.63791420092637,1347.479578964808,1446.26567017389,1.9190485499574348,37.348513788361096,0.46059835119789305
_result,2,2025-06-28 23:41:38.999247+00:00,2025-06-29 23:41:38.999247+00:00,2025-06-29 20:06:48.783368+00:00,air_intake,intake_3,77.01344428617024,1366.755977300462,1202.3163887482633,1.8359259318542451,28.00843007787375,1.3405593693647135
_result,3,2025-06-28 23:41:38.999247+00:00,2025-06-29 23:41:38.999247+00:00,2025-06-29 20:06:48.833703+00:00,air_intake,intake_4,77.17137242561245,1311.7962037330694,1418.77464968597,1.2462593020548813,39.79513957285229,0.7418483443201852
_result,4,2025-06-28 23:41:38.999247+00:00,2025-06-29 23:41:38.999247+00:00,2025-06-29 20:06:48.882544+00:00,air_intake,intake_5,89.77686730188155,1391.6347330826156,1173.3273608624613,1.7010302753701123,26.404083320217026,1.3979280031693806
_result,5,2025-06-28 23:41:38.999247+00:00,2025-06-29 23:41:38.999247+00:00,2025-06-29 20:06:48.932521+00:00,air_intake,intake_6,87.02915163207288,1434.005968932768,1176.566600445625,1.8975313491548345,36.28919497959524,1.1356940776324824
_result,0,2025-06-28 23:41:38.999247+00:00,2025-06-29 23:41:38.999247+00:00,2025-06-29 20:12:04.795727+00:00,air_intake,intake_1,78.04416763099096,1377.6266547577904,1165.5258319203906,1.0936333902467033,38.158611240138235,0.8872706265001251
_result,1,2025-06-28 23:41:38.999247+00:00,2025-06-29 23:41:38.999247+00:00,2025-06-29 20:12:04.808726+00:00,air_intake,intake_2,79.75772599873193,1250.4059590794318,1383.3370385385756,1.255237806150343,29.637885886071054,1.4512514195648651
_result,2,2025-06-28 23:41:38.999247+00:00,2025-06-29 23:41:38.999247+00:00,2025-06-29 20:12:04.855035+00:00,air_intake,intake_3,94.54388989793092,1344.3695292100645,1256.27370987155,1.8600493587305438,25.81974672205911,0.300777706360702
_result,3,2025-06-28 23:41:38.999247+00:00,2025-06-29 23:41:38.999247+00:00,2025-06-29 20:12:04.901570+00:00,air_intake,intake_4,72.40817192121285,1408.0697328411136,1123.9194209958987,1.8834448414323375,37.84020871401172,1.2661048113425888
